Gene_stable_ID	Gene name	Descriptions	GO_terms
AGAP003339		EF-hand domain (C-terminal) containing 2	GO:0005509;GO:0010975
AGAP003340			
AGAP003341			GO:0005623;GO:0005096;GO:0006886;GO:0017137;GO:0090630
AGAP003342		xeroderma pigmentosum group C-complementing protein	GO:0003697;GO:0003677;GO:0006289;GO:0005634;GO:0071942;GO:0000111;GO:0005737;GO:0003684;GO:0006298
AGAP003343	CYP6AG1	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0016021;GO:0004497;GO:0005506
AGAP003344		translation machinery-associated protein 20	GO:0005737;GO:0003723
AGAP003345		xeroderma pigmentosum group C-complementing protein	GO:0003697;GO:0003677;GO:0006289;GO:0005634;GO:0071942;GO:0000111;GO:0005737;GO:0003684;GO:0006298
AGAP003346		WD and tetratricopeptide repeats protein 1 [Source:UniProtKB/TrEMBL	GO:0005515
AGAP003349			GO:0006811;GO:0055085;GO:0016020;GO:0005216
AGAP003350		phosphoenolpyruvate carboxykinase (GTP)	GO:0005829;GO:0030145;GO:0006090;GO:0006094;GO:0042594;GO:0005525;GO:0071333;GO:0046327;GO:0004611;GO:0019543;GO:0004613;GO:0017076;GO:0033993
AGAP003351			
AGAP003352		Stomatin (EPB72)-like 3	GO:0016020;GO:0016021
AGAP003353			GO:1902808;GO:0033148;GO:0030331;GO:0044666;GO:0051568
AGAP003354	A5R3	antigen 5 related protein 3	GO:0032504;GO:0005615
AGAP003355			GO:0003676;GO:0003723
AGAP003356		KH domain-containing, RNA-binding, signal transduction-associated protein 3	GO:0005634;GO:0003676;GO:0003723;GO:0048024
AGAP003357		RAG1-activating protein 1-like protein	GO:0051119;GO:0008643;GO:0016021;GO:0005886
AGAP003358		Sugar transporter SWEET [Source:UniProtKB/TrEMBL	GO:0051119;GO:0016021;GO:0008643
AGAP003359		adaptor protein complex AP-1 subunit gamma-1	GO:0030117;GO:0006886;GO:0016192
AGAP003360		dynein light chain roadblock-type	GO:0007018;GO:0005737;GO:0005813;GO:0005874;GO:0045505;GO:0003774;GO:0005868
AGAP003361			GO:0006541;GO:0004359
AGAP003363		Transmembrane and TPR repeat-containing protein	GO:0005515
AGAP003364			GO:0005634;GO:0003676;GO:0008270
AGAP003365		mitogen-activated protein kinase kinase 4	GO:0004672;GO:0006468;GO:0004674;GO:0005524
AGAP003366		myotubularin-related protein 13	GO:0046872;GO:0035556
AGAP003367		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 2	GO:0005747
AGAP003368			
AGAP003369		RNA-binding protein 16	GO:0003676;GO:0003723
AGAP003371			
AGAP003372		Haloacid dehalogenase-like hydrolase domain-containing protein 1A	GO:0000287;GO:0016787
AGAP003373	SCRB17	Class B Scavenger Receptor (CD36 domain)	GO:0016020
AGAP003374		extracellular sulfatase Sulf	GO:0008484;GO:0003824
AGAP003375	CPR114	cuticular protein RR-2 family 114	GO:0031012;GO:0042302
AGAP003377	CPR115	cuticular protein RR-2 family 115	GO:0031012;GO:0042302
AGAP003378	CPR116	cuticular protein RR-2 family 116	GO:0031012;GO:0042302
AGAP003379	CPR117	cuticular protein RR-2 family 117	GO:0031012;GO:0042302
AGAP003380	CPR118	cuticular protein RR-2 family 118	GO:0031012;GO:0042302
AGAP003381	CPR119	cuticular protein RR-2 family 119	GO:0031012;GO:0042302
AGAP003382	CPR120	cuticular protein RR-2 family 120	GO:0031012;GO:0042302
AGAP003383	CPR121	cuticular protein RR-2 family 121	GO:0031012;GO:0042302
AGAP003384	CPR122	cuticular protein RR-2 family 122	GO:0031012;GO:0042302
AGAP003385	CPR123	cuticular protein RR-2 family 123	GO:0031012;GO:0042302
AGAP003386			
AGAP003387			
AGAP003388			
AGAP003389			GO:0005515
AGAP003390	CPR124	cuticular protein RR-2 family 124	GO:0031012;GO:0042302
AGAP003394			
AGAP003395			
AGAP003396		phosphatidylinositol glycan, class Q	GO:0000506;GO:0016021;GO:0006506;GO:0017176
AGAP003397		Similar to ATP-dependent RNA helicase dbp5	GO:0003676;GO:0005524
AGAP003398		nucleosome-remodeling factor 38 kDa subunit	GO:0005737;GO:0004427;GO:0006796;GO:0000287
AGAP003399			
AGAP003400			GO:0005509;GO:0005515
AGAP003401			
AGAP003402			
AGAP003404		phosphatidylinositol glycan, class H	GO:0000506;GO:0016021;GO:0006506;GO:0017176
AGAP003405		adenylosuccinate synthase	GO:0006164;GO:0005525;GO:0000287;GO:0046040;GO:0005737;GO:0004019;GO:0044208
AGAP003406			GO:0003677;GO:0043565;GO:0005634;GO:0006355
AGAP003408		aldose reductase	GO:0005829;GO:0055114;GO:0004032;GO:0016491;GO:0008106
AGAP003409			GO:0016021
AGAP003410		Myb-interacting protein	GO:0017053
AGAP003411			GO:0005634;GO:0008270
AGAP003412	RpS28	40S ribosomal protein S28	GO:0006412;GO:0005622;GO:0030490;GO:0005840;GO:0022627;GO:0000028;GO:0003735
AGAP003413		alanyl-tRNA synthetase domain-containing protein 1	GO:0006450;GO:0004812;GO:0043039;GO:0002196;GO:0000166;GO:0005524
AGAP003414		3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase	GO:0016491
AGAP003415		Grx3p	GO:0006879;GO:0005829;GO:0005634;GO:0045454;GO:0015035;GO:0015038;GO:0009055
AGAP003416		prefoldin alpha subunit	GO:0051082;GO:0005737;GO:0016272;GO:0006457
AGAP003417			GO:0005623;GO:0005096;GO:0006886;GO:0017137;GO:0090630
AGAP003418		stearoyl-CoA desaturase (delta-9 desaturase)	GO:0055114;GO:0006636;GO:0016717;GO:0016021;GO:0005789;GO:0006629;GO:0005506
AGAP003419			GO:0016021
AGAP003420	Osi22	protein osiris 22	GO:0016021
AGAP003421			GO:0016021
AGAP003422		endoplasmic reticulum metallopeptidase 1	GO:0006508;GO:0016021
AGAP003423		endoplasmic reticulum metallopeptidase 1	GO:0006508;GO:0016021
AGAP003424		catenin alpha	GO:0005198;GO:0015629;GO:0051015;GO:0007155;GO:0045296
AGAP003425		solute carrier family 7 (cationic amino acid transporter, y+ system)	GO:0022857;GO:0015179;GO:0016021;GO:0055085;GO:0016020
AGAP003428		speckle-type POZ protein	GO:0030162;GO:0031625;GO:0005634;GO:0005737;GO:0043161;GO:0006511;GO:0005515
AGAP003429		LIM and senescent cell antigen-like domains 1	GO:1900026;GO:2001046;GO:0098609;GO:0005925;GO:0046872;GO:0005737;GO:0045216;GO:0005911
AGAP003430	VhaM8.9	vacuolar H+ ATPase M8.9 accessory subunit	GO:0016021;GO:0009897;GO:0038023;GO:0030177
AGAP003431		RUN and FYVE domain-containing 2	GO:0005737;GO:0046872
AGAP003432		endoplasmic reticulum metallopeptidase 1	GO:0006508;GO:0016021
AGAP003433			
AGAP003434		Condensin complex subunit 1 [Source:UniProtKB/TrEMBL	GO:0000779;GO:0051304;GO:0000278;GO:0005634;GO:0003682;GO:0000799;GO:0030261;GO:0042393;GO:0051301;GO:0010032;GO:0007076
AGAP003437			GO:0035091
AGAP003438			
AGAP003439			GO:0005634;GO:0006357;GO:0016021;GO:0005515
AGAP003440			
AGAP003441			GO:0030414;GO:0005576;GO:0005515
AGAP003442			
AGAP003444			
AGAP003445	Tsc1	tuberous sclerosis 1	
AGAP003446			GO:0005634;GO:0003676;GO:0010468;GO:0000979;GO:0008270
AGAP003447			
AGAP003449		rootletin	
AGAP003453			GO:0016021
AGAP003454		aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	GO:0032543;GO:0016874;GO:0016884;GO:0003824;GO:0030956;GO:0050567;GO:0005739;GO:0070681
AGAP003457			
AGAP003459		nuclear pore complex protein Nup93	GO:0017056;GO:0016973;GO:0005643;GO:0016020;GO:0006606
AGAP003460		mRNA (guanine-N7-)-methyltransferase	GO:0005845;GO:0005634;GO:0004482;GO:0003723;GO:0006370
AGAP003461		beta-1,4-N-acetylglucosaminyltransferase	GO:0043541;GO:0006488;GO:0016021
AGAP003462		protein arginine N-methyltransferase 1	GO:0008469;GO:0005829;GO:0035242;GO:0005634;GO:0006479;GO:0034969;GO:0006355;GO:0019919;GO:0008168
AGAP003463			GO:0016021
AGAP003464		glycerol kinase	GO:0005975;GO:0016310;GO:0006071;GO:0005737;GO:0016773;GO:0004370;GO:0046167;GO:0005739;GO:0006641
AGAP003465	Osi14	protein osiris 14	GO:0016021
AGAP003466	Osi15	protein osiris 15	
AGAP003467	Osi16	protein osiris 16	GO:0016021
AGAP003468	Osi17	protein osiris 17	GO:0016021
AGAP003469	Osi18	protein osiris 18	GO:0016021
AGAP003470	Osi19	protein osiris 19	GO:0016021
AGAP003471	Osi20	protein osiris 20	GO:0016021
AGAP003472		protein osiris 16	GO:0016021
AGAP003473			
AGAP003474			
AGAP003475		leucyl aminopeptidase	GO:0030145;GO:0004177;GO:0005622;GO:0005737;GO:0008235;GO:0006508;GO:0019538
AGAP003476		protein BCP1	GO:0007052;GO:0000132;GO:0019207;GO:0097431;GO:0000079;GO:0006974;GO:0034453;GO:0090307;GO:0005813;GO:0015631
AGAP003477	CCT6	Chaperonin containing TCP1 subunit 6	GO:0051082;GO:0006457;GO:0005832;GO:0005524
AGAP003478		CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:UniProtKB/TrEMBL	GO:0016780;GO:0005794;GO:0008654;GO:0016021;GO:0006661;GO:0016020;GO:0003881
AGAP003481			GO:0003824
AGAP003482		oxysterol-binding protein	GO:0003824
AGAP003483			GO:0003824
AGAP003484		oxysterol-binding protein	GO:0005829;GO:0043231;GO:0015248;GO:0032934;GO:0008289;GO:0016021;GO:0015485;GO:0016020;GO:0015914
AGAP003485		thioredoxin domain-containing protein	
AGAP003486			
AGAP003487		Mesenchymal stem cell protein DSCD75	
AGAP003488		nucleotide exchange factor SIL1	GO:0005737;GO:0005783;GO:0000774
AGAP003489	Vps13B	vacuolar protein sorting 13B	GO:0005623;GO:0006623;GO:0045053;GO:0019898
AGAP003490		alanine-glyoxylate aminotransferase	GO:0005777;GO:0019265;GO:0004760;GO:0003824;GO:0008453
AGAP003492		facilitated glucose transporter (solute carrier family 2)	GO:0005351;GO:0005215;GO:0022857;GO:0016021;GO:0055085;GO:0016020;GO:0005887
AGAP003493		sugar transporter ERD6-like 6	GO:0005351;GO:0005215;GO:0016021;GO:0016020;GO:0055085;GO:0022857;GO:0005887
AGAP003494		sugar transporter ERD6-like 7	GO:0005215;GO:0022857;GO:0016021;GO:0055085;GO:0016020
AGAP003495			GO:0005351;GO:0005215;GO:0022857;GO:0016021;GO:0055085;GO:0016020;GO:0005887
AGAP003496			GO:0016021;GO:0004222;GO:0008237;GO:0006508
AGAP003497			GO:0003690;GO:0003730;GO:0003676;GO:0005654;GO:0070935;GO:0003723;GO:0005737;GO:1990904;GO:0003727
AGAP003498			GO:0016021;GO:0004222;GO:0008237;GO:0006508
AGAP003499			GO:0016021;GO:0016747
AGAP003500		Lipase [Source:UniProtKB/TrEMBL	GO:0006629;GO:0016788;GO:0016042;GO:0016298;GO:0044255
AGAP003501		Lipase [Source:UniProtKB/TrEMBL	GO:0006629;GO:0016788;GO:0016042;GO:0016298;GO:0044255
AGAP003502	HPX6	heme peroxidase 6	GO:0006979;GO:0055114;GO:0020037;GO:0016021;GO:0004601
AGAP003503		nuclear pore complex protein Nup133	GO:0017056;GO:0031080;GO:0031081;GO:0005515;GO:0016020;GO:0006606
AGAP003504			
AGAP003506			GO:0016021;GO:0009888;GO:0009887;GO:0005515
AGAP003507	Vps24	vacuolar protein sorting 24	GO:0015031;GO:0000815;GO:0045324;GO:0032509;GO:0007034;GO:0005771
AGAP003508		ATP-dependent RNA helicase SUPV3L1, mitochondrial	GO:0016817
AGAP003509		Complexin, isoform V	GO:0046928;GO:0000149;GO:0019905;GO:0043195;GO:0006836;GO:0016079;GO:0031201
AGAP003510			GO:0016021;GO:0016747
AGAP003512			GO:0005515
AGAP003513			GO:0005198;GO:0051225
AGAP003514			
AGAP003515	NIT8537		GO:0006528;GO:0006807;GO:0050152;GO:0006107;GO:0006541
AGAP003516	NIT8492		GO:0006528;GO:0006807;GO:0050152;GO:0006107;GO:0006541
AGAP003517		phenylalanyl-tRNA synthetase beta chain	GO:0004826;GO:0006432;GO:0009328;GO:0000287;GO:0003723;GO:0000166;GO:0005737;GO:0005524
AGAP003519		ankyrin repeat domain-containing protein 17	GO:0003676;GO:0005515;GO:0003723
AGAP003521		alpha-2-macroglobulin receptor-associated protein	GO:0005783;GO:0048019;GO:0008201;GO:0050750
AGAP003522	CYP329A1	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0016021;GO:0005506
AGAP003523		hypoxia-inducible factor prolyl hydroxylase	GO:0055114;GO:0016705;GO:0031418;GO:0016491;GO:0005506
AGAP003524		transcription initiation factor TFIID subunit 5	GO:0005515
AGAP003525		CCR4-NOT transcription complex, subunit 2	GO:0030015;GO:0005634;GO:0006355;GO:0000932;GO:0017148
AGAP003526		asterless	
AGAP003527		O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase	GO:0000049;GO:0006412;GO:0016785;GO:0005737;GO:0016740;GO:0003824;GO:0097056
AGAP003530	OBP6	odorant-binding protein antennal 6	GO:0042048;GO:0005549;GO:0007608;GO:0005576;GO:0016021;GO:0035274;GO:0035275
AGAP003531	IR41n	ionotropic receptor IR41n	GO:0004970;GO:0016020;GO:0016021
AGAP003532	RpS3a	40S ribosomal protein S3a [Source:UniProtKB/Swiss-Prot	GO:0005829;GO:0006412;GO:0005622;GO:0005840;GO:0022627;GO:0003735
AGAP003533		DnaJ homolog subfamily C member 19	GO:0001671;GO:0030150;GO:0001405
AGAP003534		UPF0443 protein AGAP003534	GO:0016021
AGAP003535			GO:0016021
AGAP003536		solute carrier family 25 (mitochondrial S-adenosylmethionine transporter)	GO:0005743;GO:0000095;GO:0016021;GO:0055085;GO:0022857
AGAP003537		Cys2His2 zinc finger developmental/cell cycle regulator, other	GO:0005634;GO:0006357;GO:0003676;GO:0005515
AGAP003538	RpL36a	60S ribosomal protein L36a	GO:0006412;GO:0005622;GO:0022625;GO:0005840;GO:0003735
AGAP003539		Armadillo repeat-containing protein	
AGAP003540			GO:0005737;GO:0005794
AGAP003541		eukaryotic translation elongation factor 1 alpha 1	GO:0003746;GO:0006414;GO:0006412;GO:0005525;GO:0003924
AGAP003542		Epoxide hydrolase 2, cytoplasmic	GO:0003824
AGAP003543		translation machinery-associated protein 16	
AGAP003544			
AGAP003545	Osk	protein oskar	GO:0016021
AGAP003546		Polychaetoid, isoform F	GO:0042981;GO:0005515
AGAP003547		MORN repeat-containing protein 4	
AGAP003548		DNA repair/transcription protein MET18/MMS19	GO:0016226;GO:0007059;GO:0045893;GO:0006281;GO:0097361;GO:0097428;GO:1905168
AGAP003549			GO:0000139;GO:0016021;GO:0015165;GO:0090481
AGAP003550			GO:0005515
AGAP003551		beta-1,4-mannosyltransferase	GO:0000030;GO:0005783;GO:0006486
AGAP003552		SET and MYND domain-containing protein 5	GO:0005515
AGAP003553		Transmembrane emp24 protein transport domain containing 9	GO:0005793;GO:0005783;GO:0005794;GO:0006888;GO:0016021;GO:0006886;GO:0030134;GO:0005789;GO:0007030
AGAP003554			
AGAP003555		multiple inositol-polyphosphate phosphatase	GO:0052745;GO:0003993;GO:0016791
AGAP003556	RpL3	60S ribosomal protein L3	GO:0006412;GO:0005622;GO:0005840;GO:0003735
AGAP003557			GO:0016021
AGAP003558			GO:0016021
AGAP003559			GO:0046658;GO:0062023;GO:0009966
AGAP003560		UDP-glucose:glycoprotein glucosyltransferase	GO:0003980;GO:0005783;GO:0006486;GO:0051082;GO:0018279;GO:0071712
AGAP003561			GO:0031463;GO:0031462;GO:0031467;GO:0019788;GO:0005634;GO:0031461;GO:0061630;GO:0031146;GO:0043224;GO:0016021;GO:0080008;GO:0097602;GO:0045116;GO:0006511
AGAP003562			GO:0003677;GO:0005634;GO:0003676;GO:0008270
AGAP003565			GO:0005634;GO:0003677;GO:0003676;GO:0008270
AGAP003566			GO:0003677;GO:0005634;GO:0003676;GO:0008270
AGAP003567		hepatitis B virus X-interacting protein	GO:0019079;GO:1904263;GO:0071230;GO:0043154;GO:0005737;GO:0043066;GO:0005764;GO:0071986
AGAP003568	COE22933	carboxylesterase	GO:0007158;GO:0048488;GO:0045202;GO:0097104;GO:0098793;GO:0009986;GO:0097105;GO:0050804;GO:0042043;GO:0038023;GO:0005887
AGAP003570			GO:0016021
AGAP003571		threonine dehydratase	GO:0006567;GO:0003941;GO:0006565;GO:0004794
AGAP003572			GO:0016021;GO:0030246
AGAP003573			GO:0008289
AGAP003575			GO:0003690;GO:0006393;GO:0006355;GO:0005739
AGAP003576		transportin-3	GO:0005634;GO:0008536;GO:0006886
AGAP003577		Ras-related and estrogen-regulated growth inhibitor-like protein	GO:0007165;GO:0005525;GO:0003924;GO:0016020
AGAP003578		aldehyde dehydrogenase (NAD+)	GO:0055114;GO:0004029;GO:0016491;GO:0016620
AGAP003579		cadherin-87A	GO:0005509;GO:0007156;GO:0016021;GO:0016020;GO:0007155;GO:0005886
AGAP003580			
AGAP003581		D-xylulose reductase A	GO:0055114;GO:0016021;GO:0016491;GO:0008270
AGAP003582		D-xylulose reductase A	GO:0055114;GO:0008270;GO:0016491
AGAP003583		L-iditol 2-dehydrogenase	GO:0055114;GO:0008270;GO:0016491
AGAP003584		L-iditol 2-dehydrogenase	GO:0055114;GO:0008270;GO:0016491
AGAP003585			
AGAP003586		Phosphate carrier, mitochondrial	GO:0031305;GO:0005315;GO:0035435
AGAP003587		sodium-independent sulfate anion transporter	GO:0008271;GO:0015301;GO:0016021;GO:0055085;GO:0016020;GO:0005887;GO:0015116;GO:0008272
AGAP003588	VATH	V-type H+-transporting ATPase subunit H	GO:0015991;GO:0016021;GO:0016787;GO:0055085;GO:0015078;GO:0033179
AGAP003589		prolyl-tRNA synthetase	GO:0004827;GO:0004812;GO:0000166;GO:0005737;GO:0006433;GO:0006418;GO:0005739;GO:0005524
AGAP003590			GO:0097036;GO:0005794;GO:0006665;GO:0016125;GO:0016021;GO:0032366;GO:0032541
AGAP003591		LRR-repeat protein 1	GO:0005515
AGAP003592	RpLP0	60S ribosomal protein LP0	GO:0002181;GO:0005622;GO:0000027;GO:0022625;GO:0070180;GO:0042254;GO:0003735
AGAP003593		Protein arginine methyltransferase RmtB	GO:0008469;GO:0005829;GO:0035242;GO:0005634;GO:0006479;GO:0034969;GO:0006355;GO:0019919;GO:0008168
AGAP003594			GO:0005634;GO:0003676;GO:0003700;GO:0008270
AGAP003595		rRNA biogenesis protein RRP5	GO:0005634;GO:0003676;GO:0032040;GO:0005730;GO:0006396;GO:0006397;GO:0005515
AGAP003596			GO:0003824
AGAP003597		histone-lysine N-methyltransferase SUV39H	GO:0018024;GO:0005634;GO:0005525;GO:0046974;GO:0003924;GO:0005694;GO:0034968;GO:0008270;GO:0005515
AGAP003598		template-activating factor I	GO:0005634;GO:0006334
AGAP003599	ATPsynO	F-type H+-transporting ATPase oligomycin sensitivity conferral protein	GO:0015986;GO:0046933
AGAP003600		Elongation of very long chain fatty acids protein [Source:UniProtKB/TrEMBL	GO:0009922;GO:0019367;GO:0102336;GO:0102338;GO:0102337;GO:0030148;GO:0016021;GO:0102756;GO:0034626;GO:0030176;GO:0034625;GO:0042761
AGAP003601		alpha-1,2-mannosyltransferase	GO:0000030;GO:0005783;GO:0016021;GO:0005789;GO:0016757
AGAP003602		methyltransferase-like protein 9	
AGAP003603			GO:0042391;GO:0048788;GO:0098831;GO:0045202;GO:0048167;GO:2000300;GO:0050806;GO:0044325;GO:0042734;GO:0006887;GO:0048791;GO:0017137;GO:0016020
AGAP003604			GO:0046872;GO:0006887;GO:0017137;GO:0016020;GO:0005515
AGAP003605		cullin 2	GO:0031625;GO:0019005;GO:0031462;GO:0031146;GO:0043161;GO:0031461;GO:0006511
AGAP003606		Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL	GO:0005777;GO:0080019;GO:0102965;GO:0035336;GO:0016021;GO:0010025;GO:0006629
AGAP003607		Cad96Cb, isoform B [Source:UniProtKB/TrEMBL	GO:0005509;GO:0007156;GO:0016021;GO:0016020;GO:0007155;GO:0005886
AGAP003608	CYP4AA1	cytochrome P450	GO:0055114;GO:0020037;GO:0016705;GO:0016021;GO:0004497;GO:0005506
AGAP003610			
AGAP003611		Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL	GO:0005777;GO:0080019;GO:0102965;GO:0035336;GO:0016021;GO:0010025;GO:0006629
AGAP003612			
AGAP003613		palmitoyltransferase ZDHHC3	GO:0005783;GO:0005794;GO:0006612;GO:0019706;GO:0016021;GO:0018230
AGAP003614			GO:0005773;GO:0016021;GO:0006624
AGAP003615		toll-interacting protein	GO:0005515;GO:0043130;GO:0006511;GO:0031624
AGAP003616			GO:0005634;GO:0006336;GO:0005515
AGAP003618		serine/threonine-protein kinase LATS1/2	GO:0000082;GO:0004672;GO:0035556;GO:0006468;GO:0000278;GO:0004674;GO:0035329;GO:0018105;GO:0043065;GO:0046620;GO:0005524
AGAP003619		transcription elongation factor SPT6	GO:0032968;GO:0003677;GO:0031491;GO:0042789;GO:0008023;GO:0070827;GO:0006368;GO:0003676;GO:0006139;GO:0042393;GO:0035327;GO:0034728;GO:0050684
AGAP003620			
AGAP003621		coiled-coil domain-containing protein 25	
AGAP003622		Queuine tRNA-ribosyltransferase catalytic subunit 1 [Source:UniProtKB/TrEMBL	GO:0101030;GO:0006400;GO:0046872;GO:0016763;GO:0005737;GO:0008479
AGAP003623		long-chain acyl-CoA synthetase	GO:0016021;GO:0003824
AGAP003624			
AGAP003626			GO:0004252;GO:0006508
AGAP003627			GO:0004252;GO:0006508
AGAP003629			GO:0009166;GO:0016788;GO:0046872;GO:0000166;GO:0016787;GO:0008253;GO:0005886;GO:0006196
AGAP003630			
AGAP003631	GPRGRP2	putative gastrin/bombesin receptor 2	GO:0008528;GO:0007186;GO:0016021;GO:0004930;GO:0005887
AGAP003632		U3 small nucleolar RNA-associated protein 14	GO:0005730;GO:0032040;GO:0006364
AGAP003633			
AGAP003635			GO:0000395;GO:0006396;GO:0003723
AGAP003636		inositol oxygenase	GO:0055114;GO:0005737;GO:0050113;GO:0019310;GO:0005506
AGAP003638			GO:0003779
AGAP003639		Prolylcarboxypeptidase	GO:0006508;GO:0008239;GO:0008236
AGAP003640	SP8905		GO:0006508;GO:0008239;GO:0008236
AGAP003641	SP8907		GO:0006508;GO:0008239;GO:0008236
AGAP003642	SP8898		GO:0006508;GO:0008236
AGAP003643		ubiquitin carboxyl-terminal hydrolase 34	GO:0004843;GO:0004197;GO:0036459;GO:0016579;GO:0006511
AGAP003644	mRpS11	28S ribosomal protein S11, mitochondrial	GO:0048027;GO:0000462;GO:0006412;GO:0070181;GO:0005840;GO:0000028;GO:0005763;GO:0003735
AGAP003645		kelch-like protein 19	GO:0005515
AGAP003646			
AGAP003647			GO:0034975;GO:0072546;GO:0005515
AGAP003648		DNA-directed RNA polymerase II subunit RPB2	GO:0005665;GO:0003677;GO:0006351;GO:0006366;GO:0032549;GO:0003899
AGAP003649			GO:0003677;GO:0008270
AGAP003650		translation initiation factor eIF-2B subunit alpha	GO:0006446;GO:0044237;GO:0006413;GO:0005851
AGAP003651		Tyrosine-protein kinase Fes/Fps	GO:0004672;GO:0006468;GO:0004713;GO:0018108;GO:0005524
AGAP003652		aldehyde dehydrogenase (NAD+)	GO:0016620;GO:0055114;GO:0004029;GO:0016491
AGAP003654	GPRCAL3	putative calcitonin receptor 3	GO:0007186;GO:0016021;GO:0007166;GO:0016020;GO:0004930;GO:0004888
AGAP003655		RNA methyltransferase like 1	GO:0008173;GO:0006396;GO:0003723
AGAP003656		Terribly reduced optic lobes, isoform B [Source:UniProtKB/TrEMBL	GO:0005515
AGAP003657			
AGAP003658	GPRALS1	putative allatostatin receptor 1	GO:0004930;GO:0016021;GO:0007186
AGAP003660			
AGAP003661			GO:0031146;GO:0005515;GO:0019005
AGAP003662		Prenylated Rab acceptor protein 1	GO:0016021
AGAP003663		ATP-dependent RNA helicase DBP2	GO:0004386;GO:0003676;GO:0005524
AGAP003664		Envelysin	GO:0004222;GO:0008237;GO:0006508;GO:0008270
AGAP003665			
AGAP003666		E3 ubiquitin-protein ligase RNF139	GO:0005783;GO:0061630;GO:0036503;GO:0016021;GO:0012505
AGAP003667			GO:0016021
AGAP003669		homeobox protein MSX	GO:0003677;GO:0043565;GO:0006355
AGAP003670		homeobox protein Nkx, invertebrate	GO:0003677;GO:0043565;GO:0005634;GO:0045944;GO:0003700;GO:0006355;GO:0030154;GO:0000978
AGAP003671	Bap	protein bagpipe	GO:0003677;GO:0043565;GO:0005634;GO:0045944;GO:0003700;GO:0006355;GO:0030154;GO:0000978
AGAP003672			GO:0003677;GO:0043565;GO:0005634;GO:0006355
AGAP003674		T-cell leukemia homeobox protein	GO:0003677;GO:0043565;GO:0005634;GO:0006355
AGAP003675	CRZ	corazonin	GO:0005184;GO:0005576;GO:0071858;GO:0007218;GO:0045823
AGAP003676		DNA repair protein RAD50	GO:0070192;GO:0000784;GO:0000722;GO:0000723;GO:0004017;GO:0032508;GO:0007004;GO:0046872;GO:0043047;GO:0003691;GO:0090305;GO:0006281;GO:0035861;GO:0016233;GO:0051880;GO:0000794;GO:0005634;GO:0000790;GO:0030870;GO:0016887
AGAP003677			
AGAP003678	LST2	lateral signalling target protein 2	GO:0046872
AGAP003679			
AGAP003680	ABCH2	ATP-binding cassette transporter (ABC transporter) family H member 2	GO:0043190;GO:0016021;GO:0016020;GO:0055085;GO:0016887;GO:0005524
AGAP003681		huntingtin	GO:0005634;GO:0005737
AGAP003684		Vesicular amine transporter 2	GO:0008504;GO:0043195;GO:0006836;GO:0015842;GO:0016021;GO:0055085;GO:0005335;GO:0030672
AGAP003685			GO:0005634;GO:0006357;GO:0005515
AGAP003686			GO:0004252;GO:0006508
AGAP003687		glycerol-3-phosphate O-acyltransferase 1/2	GO:0016746;GO:0004366;GO:0031966;GO:0006631;GO:0006072;GO:0008654;GO:0008374;GO:0044255;GO:0019432
AGAP003688		threonine aldolase	GO:0005829;GO:0006545;GO:0006567;GO:0003824;GO:0006520;GO:0008732;GO:0016829
AGAP003689	CLIPC7	CLIP-domain serine protease [Source:UniProtKB/TrEMBL	GO:0004252;GO:0006508
AGAP003691			GO:0004252;GO:0006508
AGAP003692		Aminopeptidase [Source:UniProtKB/TrEMBL	GO:0006508;GO:0008270;GO:0008237
AGAP003695		aminopeptidase N	GO:0006508;GO:0008270;GO:0008237
AGAP003697		beta-1,4-N-acetylglucosaminyltransferase	GO:0016758;GO:0006488
AGAP003698		zinc finger protein 593 homolog	GO:0000055;GO:0005623;GO:0003676;GO:0030687;GO:0043023;GO:0008270
AGAP003699		beta-1,4-N-acetylglucosaminyltransferase	GO:0016758;GO:0006488
AGAP003700		methionyl aminopeptidase	GO:0004177;GO:0046872;GO:0070084;GO:0008235;GO:0006508;GO:0070006
AGAP003701		zinc finger protein 593 homolog	GO:0000055;GO:0005623;GO:0003676;GO:0030687;GO:0043023;GO:0008270
AGAP003702		tolkin	GO:0005509;GO:0004222;GO:0008237;GO:0006508;GO:0008270
AGAP003703		abnormal spindle-like microcephaly-associated protein	GO:0007051;GO:0005515
AGAP003704		oxygen-dependent protoporphyrinogen oxidase	GO:0006779;GO:0055114;GO:0006782;GO:0004729;GO:0006783;GO:0016491;GO:0005739;GO:0031304
AGAP003705		Set1/Ash2 histone methyltransferase complex subunit ASH2	GO:0006351;GO:0044212;GO:0046872;GO:0048188;GO:0051568;GO:0005515
AGAP003706		BolA protein	GO:0006351;GO:0005739
